TOA5;CR1000XLagunaPiedra;CR1000X;22185;CR1000X.Std.04.02;CPU:FuentePiedraV3.1.CR1X;57757;flux;;;;;;;;;;;;;;;;;;
TIMESTAMP;RECORD;Ux_rmy_Avg;Uy_rmy_Avg;Uz_rmy_Avg;Ts_rmy_Avg;diag_rmy_Avg;CO2_Avg;H2O_Avg;press_Avg;diag_irga_Avg;rh_hmp_Avg;t_hmp_Avg;e_hmp_Avg;panel_temp_raw_Avg;batt_volt_Avg;Rn_meas_Avg;Par_i_Avg;Par_r_Avg;Tsoil_Avg(1);Tsoil_Avg(2);Tsoil_Avg(3);shf_Avg;n_nnd_Tot;n_NaN_Tot;num_Tot
TS;RN;m/s;m/s;m/s;C;unitless;mmol/m^3;mmol/m^3;kPa;unitless;percent;C;kPa;C;V;W/m^2;mV;mV;C;C;C;;;;
;;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Avg;Tot;Tot;Tot
26/10/2021 09:30;0;NAN;NAN;NAN;NAN;NAN;1.626.334;6.071.038;9.711.673;248;7.186.564;1.941.715;1.619.893;190.566;1.313.136;1.519.364;7.432.424;-11229.67;1.709.078;1.994.888;1.731.715;-3.561.404;1;0;6299
26/10/2021 10:00;1;2.239.833;-2.078.052;-0.1207433;1.727.604;0;1.624.831;5.850.573;9.711.313;248;6.772.521;1.978.791;1.561.668;1.990.382;1.304.478;1.788.829;810.625;-11338.17;1.811.485;2.122.735;18.228;4.229.967;0;0;18000
26/10/2021 10:30;2;2.324.645;-2.314.457;-0.1087461;1.815.963;0;161.983;5.368.679;9.710.394;248;5.903.321;2.058.185;1.429.415;2.109.709;1.286.221;2.093.457;9.019.622;-11443.26;1.946.713;2.263.608;1.953.899;9.048.372;0;0;18000
26/10/2021 11:00;3;230.005;-4.010.939;-0.1417711;1.876.078;0;1.617.039;4.618.878;9.709.036;248;4.821.124;2.119.712;1.212.703;2.206.306;1.273.574;2.421.237;9.981.808;-11613.43;2.067.693;236.319;2.078.486;1.234.807;0;0;18000
26/10/2021 11:30;4;1.868.531;-5.051.726;-0.1058622;1.923.721;0;1.615.399;4.279.916;9.706.197;248;4.229.619;216.677;1.095.342;2.294.455;1.268.957;2.595.768;1004.66;-11712.49;2.166.789;2.431.492;2.192.427;1.451.928;0;0;18000
26/10/2021 12:00;5;1.143.049;-5.785.427;-0.03893055;1.944.989;0;161.484;4.425.335;970.284;248;4.322.836;2.176.414;1.126.112;2.356.459;1.281.292;2.019.927;765.88;-11573.92;2.242.017;2.428.135;2.288.994;1.551.638;0;0;18000
26/10/2021 12:30;6;1.285.361;-6.264;-0.05100388;1.970.226;0;1.612.357;4.419.588;9.700.192;248;4.231.063;219.987;1.118.111;2.370.545;1.283.618;2.700.884;9.482.169;-11734.4;2.274.701;2.423.524;2.340.735;1.438.671;0;0;18000
26/10/2021 13:00;7;1.135.512;-5.808.566;-0.02988444;198.599;0;1.611.585;4.224.888;9.698.161;248;3.952.839;2.222.468;1.059.068;2.423.159;1.267.953;3.153.083;1.081.276;-11847.97;2.346.195;2.514.679;241.514;1.569.779;0;0;18000
26/10/2021 13:30;8;1.244.364;-6.073.215;-0.03511889;1.986.009;0;1.610.445;4.213.699;9.694.956;248;3.936.056;2.219.973;1.052.818;2.457.534;1.268.275;2.667.911;9.695.037;-11733.13;2.423.419;2.544.275;250.426;1.725.053;0;0;18000
26/10/2021 14:00;9;1.712.446;-5.750.861;-0.12904;1.977.268;0;1.610.115;4.201.562;9.692.278;248;3.936.461;221.348;1.048.928;2.451.977;1.269.632;2.647.985;9.723.724;-11725.08;246.762;2.551.155;2.565.576;1.701.444;0;0;18000
26/10/2021 14:30;10;0.6259994;-5.556.894;0.01725055;1.990.688;0;160.902;4.409.779;9.691.731;248;4.120.598;2.218.991;1.101.727;2.439.624;1.280.265;1.909.762;7.348.409;-11542.52;2.487.077;25.256;2.608.342;159.414;0;0;18000
26/10/2021 15:00;11;0.03456611;-6.145.079;0.04476944;1.987.004;0;1.608.962;4.534.319;9.691.622;248;4.278.912;2.212.662;1.139.657;2.420.938;1.283.384;2.082.923;7.353.716;-11578.68;2.489.298;2.493.831;2.619.054;1.409.134;0;0;18000
26/10/2021 15:30;12;0.4027306;-6.451.386;0.005762222;1.965.007;0;160.941;4.639.904;9.692.049;248;4.460.114;2.189.499;1.171.092;2.410.987;1.289.202;1.556.237;6.050.474;-11452.49;2.498.711;2.460.989;2.620.683;1.278.096;0;0;18000
26/10/2021 16:00;13;0.3117967;-6.476.962;0.04977778;1.940.043;0;1.610.009;4.776.806;9.693.462;248;4.709.663;2.159.669;1.214.354;2.360.501;1.300.673;9.602.389;4.420.641;-11300.98;2.472.216;2.398.495;2.600.784;1.021.327;0;0;18000
26/10/2021 16:30;14;0.86772;-6.910.777;-0.000521111;1.924.403;0;1.610.935;4.719.683;9.694.107;248;4.712.451;2.144.884;1.204.127;2.307.279;130.657;3.641.676;2.831.531;-11155.53;2.402.466;2.332.895;2.559.048;6.385.721;0;0;18000
26/10/2021 17:00;15;0.3203;-6.199.663;0.05048722;1.874.287;0;1.613.349;4.817.155;9.695.322;248;4.975.337;2.098.244;1.235.315;2.217.557;1.258.683;-2.610.117;1.109.704;-10992.91;2.311.678;2.259.214;2.497.565;2.939.386;0;0;18000
26/10/2021 17:30;16;-0.5011411;-6.298.705;0.07858555;1.817.667;0;1.616.559;4.946.303;9.696.935;248;5.318.265;2.047.178;1.279.695;2.106.604;1.214.139;-5.403.448;313.817;-10885.83;2.229.679;2.190.526;2.421.833;2.776.045;0;0;18000
26/10/2021 18:00;17;-0.4274994;-5.771.385;0.07931444;178.113;0;1.618.859;4.936.303;9.699.051;248;5.445.174;201.484;1.284.311;2.008.541;1.204.946;-6.507.963;2.234.063;-10823.09;2.157.699;2.126.725;2.344.592;-1.754.806;0;0;18000
26/10/2021 18:30;18;-0.2868161;-4.518.167;0.06681389;1.744.441;0;162.141;4.977.039;9.701.437;248;561.918;1.981.571;1.298.298;1.931.445;120.384;-6.559.496;0.2962604;-10800.12;2.094.456;2.071.266;2.272.289;-3.323.229;0;0;18000
26/10/2021 19:00;19;-0.2738794;-3.682.148;0.04762833;1.717.703;0;1.623.131;4.949.922;9.702.164;248;5.684.937;1.958.986;1.295.226;1.869.156;1.200.443;-6.618.198;0.2872415;-10786.56;2.039.207;2.021.959;2.208.591;-4.521.312;0;0;18000
26/10/2021 19:30;20;-0.1294567;-2.444.652;0.02899722;1.680.895;0;1.625.422;4.895.534;9.703.977;248;5.720.852;1.929.111;1.279.455;1.812.623;1.198.591;-6.670.164;0.293992;-10795.67;1.989.934;1.975.582;2.151.984;-5.494.093;0;0;18000
26/10/2021 20:00;21;0.09227722;-203.243;0.01044222;1.659.247;0;1.626.796;5.106.233;9.705.785;248;6.033.592;1.905.576;132.962;1.744.905;1.196.587;-6.522.467;0.4736842;-10780.28;1.944.069;1.930.925;2.100.179;-6.378.456;0;0;18000
26/10/2021 20:30;22;-0.6710395;-2.304.841;0.04857333;1.641.015;0;1.629.244;509.586;9.708.113;248;61.524;1.887.521;1.340.774;1.704.477;1.193.556;-6.806.888;0.5066494;-10754.54;1.903.458;1.895.976;2.054.342;-7.038.367;0;0;18000
26/10/2021 21:00;23;-1.157.386;-2.304.978;0.03499389;1.580.426;0;1.635.247;4.898.349;9.710.809;248;6.070.895;184.652;1.289.973;1.685.763;1.191.102;-696.218;0.4378522;-10740.61;1.868.786;1.862.571;2.013.471;-7.465.015;0;0;18000
26/10/2021 21:30;24;-1.380.305;-0.9717594;0.005087778;147.904;0;1.643.145;4.980.308;971.184;248;6.413.927;1.756.392;1.286.949;1.628.168;11.888;-7.065.284;0.6011047;-10758.06;1.838.337;1.816.043;1.973.028;-7.774.486;0;0;18000
26/10/2021 22:00;25;-1.261.725;-0.4729966;0.01765222;1.447.381;0;1.647.218;5.047.277;9.711.856;248;6.788.833;1.708.992;1.322.338;1.525.159;1.186.433;-6.893.869;0.8385497;-10758.71;1.805.742;1.770.369;1.932.026;-8.293.271;0;0;18000
26/10/2021 22:30;26;-1.004.088;-0.533765;0.010185;1.443.789;0;1.648.332;5.091.607;9.711.391;248;6.860.278;1.717.393;1.343.437;1.456.633;1.184.548;-6.334.755;0.9027858;-10762.38;177.304;1.732.059;1.893.331;-8.814.597;0;0;18000
26/10/2021 23:00;27;-0.8760055;0.08928389;0.07627722;1.398.051;0;1.651.054;5.201.431;9.711.193;248;713.358;1.663.929;1.350.561;1.396.423;1.183.051;-6.141.089;1.026.201;-10761.47;173.969;1.695.053;1.856.671;-9.347.995;0;0;18000
26/10/2021 23:30;28;-0.5525933;0.2286783;0.05773666;1.423.176;0;1.647.666;5.290.322;971.049;248;7.332.965;167.696;1.399.695;1.346.708;1.180.258;-5.718.508;109.681;-10762.74;1.707.959;1.659.999;1.822.121;-9.774.041;0;0;18000
27/10/2021 00:00;29;-0.4368278;-0.03765611;0.02281722;1.408.737;0;1.649.372;5.310.064;9.710.083;248;7.403.598;1.658.202;1.396.235;1.307.301;1.178.758;-5.335.004;1.035.185;-10778.55;1.677.608;1.623.765;1.788.749;-101.606;0;0;18000
27/10/2021 00:30;30;-0.4028505;0.6503605;0.1036539;1.247.754;0;1.656.516;5.118.077;9.709.814;248;7.617.279;1.541.655;1.334.265;1.194.924;1.176.182;-5.215.952;0.9109296;-10776.57;1.647.275;1.583.053;1.752.075;-1.057.986;0;0;18000
27/10/2021 01:00;31;-0.2668894;1.040.191;0.0870911;1.205.536;0;1.656.499;4.880.365;9.709.239;248;7.644.238;1.510.036;1.314.687;1.106.074;1.172.513;-4.842.075;1.047.304;-10781.66;1.617.636;1.553.012;1.714.166;-1.096.386;0;0;18000
27/10/2021 01:30;32;-0.2183233;0.9021866;0.07136444;1.012.575;0;1.666.716;4.529.925;9.709.002;248;7.766.873;1.346.426;119.863;1.059.143;116.861;-5.233.391;1.119.404;-10770.69;1.593.337;1.525.007;1.679.909;-1.110.294;0;0;18000
27/10/2021 02:00;33;-0.09066111;0.6357655;0.05965889;1.004.008;0;1.682.387;4.737.152;9.708.492;248;8.057.964;1.347.673;1.244.346;1.023.704;1.165.761;-4.995.728;1.220.639;-10777.89;1.567.762;1.493.692;1.648.127;-1.133.594;0;0;18000
27/10/2021 02:30;34;0.04419222;0.6082295;0.04336611;9.967.545;0;1.679.587;4.604.677;9.707.645;248;8.147.821;1.331.399;1.245.038;9.863.102;1.162.984;-4.958.734;120.088;-10778.28;1.540.978;1.464.992;1.618.139;-1.166.454;0;0;18000
27/10/2021 03:00;35;-0.3472322;0.3559489;0.06278389;9.603.502;0;1.686.513;463.007;9.705.338;248;8.246.929;1.300.489;1.234.909;9.702.608;1.160.008;-5.023.396;1.206.014;-10781.38;1.515.021;1.437.636;1.590.343;-119.457;0;0;18000
27/10/2021 03:30;36;-0.2566161;0.8672078;0.09835666;8.911.264;0;1.687.317;4.474.281;9.705.885;248;8.353.062;1.237.657;1.200.601;9.105.776;1.156.187;-5.027.914;1.163.582;-10779;148.991;1.405.943;1.561.095;-1.220.931;0;0;18000
27/10/2021 04:00;37;-0.3192789;0.5316628;0.08111722;8.563.263;0;1.693.882;4.425.335;9.705.929;248;8.418.468;1.215.131;1.192.329;8.651.181;1.154.158;-4.831.099;1.173.517;-10779.87;1.467.035;1.379.239;1.531.159;-1.237.239;0;0;18000
27/10/2021 04:30;38;-0.5242506;1.098.463;0.1592417;7.463.968;0;1.685.336;4.120.098;9.706.428;248;849.286;1.121.034;1.129.909;8.134.772;115.077;-507.256;1.208.356;-10773.23;1.444.772;1.353.678;1.501.687;-1.253.608;0;0;18000
27/10/2021 05:00;39;-0.2385772;0.5549383;0.05831055;8.289.129;0;1.685.587;4.250.097;9.705.042;248;8.511.569;1.178.651;1.176.538;8.141.776;1.148.615;-5.164.407;1.325.547;-10770.06;142.684;1.337.031;1.474.752;-1.252.545;0;0;18000
27/10/2021 05:30;40;-0.2944739;0.7808478;0.07995111;7.474.772;0;1.688.017;4.050.242;9.702.863;248;8.406.135;1.123.585;1.121.486;7.866.676;1.146.072;-4.782.308;1.083.266;-10780.41;1.409.349;131.007;1.450.364;-1.253.934;0;0;18000
27/10/2021 06:00;41;-0.3245217;0.575421;0.1045428;7.037.868;0;1.689.066;4.007.748;9.704.145;247.944;8.450.402;1.072.077;1.088.959;7.191.176;1.142.629;-500.544;1.194.985;-10773.6;1.387.376;1.281.143;1.422.464;-1.280.867;0;0;18000
27/10/2021 06:30;42;-0.3261195;0.7629561;0.1067889;7.560.911;0;1.689.938;4.032.081;9.705.148;248;8.452.533;1.110.865;11.175;6.948.441;1.139.454;-4.845.993;1.534.201;-10778.2;136.603;125.814;13.954;-1.302.246;0;0;18000
27/10/2021 07:00;43;-0.3002344;0.1050461;0.03909722;7.854.364;0;1.694.379;3.976.278;9.706.826;248;8.332.957;1.137.276;1.121.092;6.921.669;1.139.338;-4.479.057;1.715.742;-10789.43;1.348.708;1.242.417;1.371.518;-1.305.012;0;0;18000
27/10/2021 07:30;44;-0.402435;0.7975116;0.09705888;8.156.851;0;1.695.518;4.042.762;970.946;248;8.216.116;1.174.863;1.133.849;7.522.667;1.175.655;-2.993.622;9.312.881;-10774.96;1.336.577;1.285.878;1.354.035;-1.279.581;0;0;18000
27/10/2021 08:00;45;-0.1572989;0.3111783;0.05374722;1.117.313;0;1.675.128;4.415.894;971.084;248;7.814.135;1.461.587;1.298.797;9.641.917;1.255.023;3.147.023;2.232.344;-10832.84;1.350.619;1.434.745;136.082;-1.092.695;0;0;18000
27/10/2021 08:30;46;0.3381067;-0.632005;0.01458667;119.793;0;1.680.233;4.483.872;9.712.411;248;6.875.764;1.578.422;1.232.709;1.279.831;1.282.907;4.770.039;3.650.817;-10982.69;1.409.921;1.601.816;1.400.198;-7.137.583;0;0;18000
27/10/2021 09:00;47;-0.07006944;-0.4732677;-0.007158333;131.821;0;1.670.931;450.271;9.713.524;248;6.377.958;1.714.898;1.245.652;1.529.193;131.102;1.088.337;5.082.677;-11199.45;1.506.383;1.789.445;146.854;-2.676.743;0;0;18000
27/10/2021 09:30;48;-0.2440583;-0.6117244;-0.0001638889;1.496.699;0;1.651.844;4.517.783;9.713.987;248;5.543.533;1.875.606;1.198.539;1.750.215;1.316.102;1.684.259;6.418.586;-11431.79;1.621.184;1.983.388;1.575.085;1.871.797;0;0;18000
27/10/2021 10:00;49;-0.3199539;-1.202.825;0.02613667;1.692.667;0;1.636.215;4.954.696;9.712.847;248;5.378.914;2.006.719;1.263.019;195.163;130.034;2.223.838;7.596.996;-11575.98;1.750.031;2.157.131;1.714.082;6.379.416;0;0;18000
27/10/2021 10:30;50;0.8233728;-1.788.344;-0.03296055;18.239;0;1.623.906;5.149.272;9.711.782;248;5.351.632;2.083.245;1.316.582;2.121.408;1.285.872;2.318.991;8.593.153;-11606.02;1.891.903;228.881;1.863.831;1.079.993;0;0;18000
27/10/2021 11:00;51;0.8259639;-0.7994716;-0.033945;1.897.449;0;1.619.805;5.213.187;9.709.824;248;5.092.368;2.163.842;1.316.382;2.244.895;1.272.775;2.850.544;946.759;-11755.39;2.020.761;2.412.303;2.008.186;1.388.382;0;0;18000
27/10/2021 11:30;52;0.8583177;-2.463.992;-0.007960555;196.504;0;1.614.828;5.136.794;9.705.621;248;4.881.417;2.199.711;1.289.753;2.369.854;1.268.332;2.849.518;9.913.743;-11783.67;2.145.746;251.673;2.153.491;1.647.408;0;0;18000
27/10/2021 12:00;53;0.9860221;-5.119.524;-0.03103611;2.016.355;0;1.612.627;4.944.154;9.702.422;248;4.614.631;2.234.418;1.245.306;2.430.015;1.267.789;2.888.399;1.040.761;-11799.97;2.246.835;2.546.705;2.278.965;1.809.704;0;0;18000
27/10/2021 12:30;54;0.5356394;-5.268.596;0.03181389;2.048.438;0;161.017;4.759.337;9.701.081;248;4.323.687;2.265.078;1.188.601;2.466.509;1.267.636;3.189.066;1.091.651;-11872.99;232.101;2.585.509;2.383.125;1.872.109;0;0;18000
27/10/2021 13:00;55;0.8802149;-4.017.645;-0.05617389;2.068.016;0;1.608.286;4.662.533;969.827;248;4.136.794;2.284.208;1.150.674;2.537.281;1.266.615;3.150.755;1.036.768;-11868.29;2.403.831;2.659.059;2.489.591;200.034;0;0;18000
27/10/2021 13:30;56;1.048.249;-4.450.653;-0.02751389;209.525;0;1.605.746;4.712.834;9.694.501;248;4.132.645;2.299.846;1.160.487;259.589;1.276.051;2.476.434;849.128;-11710.71;2.460.177;2.660.052;2.587.908;2.033.466;0;0;18000
27/10/2021 14:00;57;-0.6873416;-5.402.882;0.08905721;2.069.022;0;1.605.798;4.749.392;9.690.734;248;4.211.649;2.286.219;1.172.957;2.607.588;1.273.278;3.089.161;9.486.719;-11848.27;2.488.496;2.659.761;2.647.824;191.754;0;0;18000
27/10/2021 14:30;58;0.5162689;-5.412.051;0.008402777;208.226;0;1.605.135;4.667.776;9.688.908;248;4.128.019;2.291.599;115.343;2.574.571;1.275.935;2.449.275;8.621.436;-11693.06;2.533.847;2.630.436;2.691.178;1.870.666;0;0;18000
27/10/2021 15:00;59;0.07454833;-5.920.187;0.03996611;2.082.007;0;1.604.757;4.916.788;9.687.444;248;4.374.455;2.286.301;1.218.307;2.553.639;1.279.055;2.240.422;7.753.595;-11635.31;2.548.506;2.598.778;2.713.307;1.721.148;0;0;18000
27/10/2021 15:30;60;-0.1770567;-5.656.013;0.09719722;207.414;0;1.604.601;4.897.128;9.686.663;248;4.396.494;2.275.968;1.216.782;2.531.328;128.525;1.636.857;6.188.483;-11488.67;2.550.225;254.868;2.717.605;1.543.552;0;0;18000
27/10/2021 16:00;61;0.6706755;-5.797.835;-0.01322;2.044.924;0;1.605.728;4.912.761;9.687.681;248;45.357;224.259;1.230.126;2.485.851;1.297.729;1.032.508;4.720.461;-11338.83;2.529.375;2.478.576;2.695.826;1.263.587;0;0;18000
27/10/2021 16:30;62;1.087.422;-5.619.313;-0.053725;1.996.936;0;1.608.449;500.221;9.688.687;248;477.668;2.199.183;1.261.676;241.419;1.307.397;4.583.387;315.787;-11186.14;2.459.788;2.402.565;2.650.459;8.418.807;0;0;18000
27/10/2021 17:00;63;0.8978922;-5.674.156;-0.001673333;1.966.329;0;1.609.632;5.152.075;9.689.104;248;5.046.648;2.168.254;1.307.852;2.332.332;1.289.854;-2.664.537;1.629.922;-11052.43;2.366.715;2.328.663;2.588.421;4.689.966;0;0;18000
27/10/2021 17:30;64;0.4708644;-5.144.963;0.006681667;1.914.216;0;1.611.636;5.331.046;9.689.602;248;5.416.855;2.119.468;1.362.622;2.228.433;1.216.441;-468.251;3.956.805;-10930.05;2.285.858;2.258.352;2.513.554;201.821;0;0;18000
27/10/2021 18:00;65;-1.332.918;-4.091.625;0.1053994;1.859.819;0;1.614.307;5.449.764;9.690.484;248;5.728.062;2.069.185;1.397.002;210.229;1.208.428;-7.234.177;1.920.355;-10818.89;2.214.401;2.190.299;2.433.365;-0.8262017;0;0;18000
27/10/2021 18:30;66;-0.7851644;-4.050.838;0.08022055;1.810.704;0;1.617.256;546.793;9.692.953;248;5.944.954;2.027.374;1.413.114;2.000.662;1.204.422;-68.492;0.3656859;-10798.92;2.149.045;2.130.836;235.705;-1.827.223;0;0;18000
27/10/2021 19:00;67;-0.2007344;-4.537.385;0.03672722;176.391;0;1.620.301;5.499.331;9.695.269;248;6.121.142;1.990.708;1.422.176;1.932.959;1.202.362;-6.292.796;0.49661;-10798.37;2.094.128;208.526;2.288.468;-3.033.522;0;0;18000
27/10/2021 19:30;68;-0.6604627;-3.953.717;0.06545722;1.726.086;0;1.621.487;5.716.447;9.696.577;248;6.520.023;1.952.592;1.479.682;188.088;1.199.791;-6.512.115;0.5766947;-10766.72;204.955;2.046.253;2.227.814;-3.787.017;0;0;18000
27/10/2021 20:00;69;-0.7918189;-4.076.375;0.08268999;1.706.412;0;1.621.592;5.844.933;9.696.535;248;676.752;1.933.691;1.517.792;1.840.634;1.196.587;-6.470.424;0.6718677;-10745.71;2.010.909;2.013.558;2.175.777;-4.340.156;0;0;18000
27/10/2021 20:30;70;-0.7496955;-3.874.379;0.065525;1.673.582;0;1.623.562;5.945.894;9.698.591;248;7.022.667;1.904.193;1.546.432;1.813.243;119.425;-637.916;0.7610699;-10749.69;1.976.995;1.984.468;2.130.094;-4.737.864;0;0;18000
27/10/2021 21:00;71;-1.155.007;-31.262;0.06850889;1.645.665;0;1.625.145;593.453;9.700.885;248;7.139.742;1.881.698;1.550.289;1.778.306;1.191.742;-6.491.325;0.8060402;-10748.59;1.947.916;1.952.108;2.088.895;-5.038.055;0;0;18000
27/10/2021 21:30;72;-1.428.868;-2.944.298;0.06685666;1.608.528;0;1.628.308;5.877.558;9.700.639;248;7.265.768;1.847.747;1.544.454;1.733.377;1.189.924;-6.661.699;0.8496009;-10732.97;1.920.282;1.916.622;2.049.893;-5.404.152;0;0;18000
27/10/2021 22:00;73;-1.346.244;-2.842.048;0.05039778;1.590.373;0;1.629.615;5.833.215;9.699.331;248;7.166.457;1.839.673;1.515.674;1.717.026;1.187.832;-6.595.663;0.9452143;-10747.44;1.894.887;1.894.759;2.013.621;-5.682.534;0;0;18000
27/10/2021 22:30;74;-1.204.225;-2.644.899;0.05155278;1.587.794;0;1.629.784;5.934.132;969.877;248;745.342;1.826.467;1.563.379;1.680.027;1.186.477;-6.483.391;0.9667389;-10758.77;1.871.486;186.196;1.979.713;-5.909.494;0;0;18000
27/10/2021 23:00;75;0.1451333;-4.554.176;0.02288944;1.646.655;0;1.624.446;6.003.484;9.695.567;248;7.333.787;1.877.384;1.588.056;1.678.532;1.183.556;-5.535.146;1.017.244;-10771.68;1.849.504;1.850.998;1.949.649;-6.124.751;0;0;18000
27/10/2021 23:30;76;0.1479333;-4.681.852;0.03956833;1.654.856;0;1.622.304;6.041.104;9.693.602;248;7.308.276;1.885.028;1.590.113;1.716.239;1.181.493;-5.609.549;0.9048193;-10763.92;1.835.812;1.845.387;1.926.964;-5.941.875;0;0;18000
28/10/2021 00:00;77;-0.7712116;-2.418.134;0.05507556;158.041;0;1.629.194;5.989.224;9.692.031;248;7.412.606;1.827.176;1.555.495;1.717.328;1.179.697;-6.301.793;1.048.329;-10783.2;1.824.146;1.823.983;1.906.363;-5.802.243;0;0;18000
28/10/2021 00:30;78;-139.743;-1.768.141;0.03215111;1.525.646;0;1.632.864;6.062.183;9.689.368;248;7.764.716;1.772.565;1.574.359;1.652.441;1.177.304;-6.724.939;1.143.149;-10780.28;180.531;1.786.365;1.880.898;-6.172.387;0;0;18000
28/10/2021 01:00;79;-0.5905644;-1.216.943;0.029515;1.495.487;0;1.635.252;5.965.913;9.687.994;248;7.705.289;1.760.756;155.124;160.242;1.174.439;-6.071.478;1.186.376;-10797.52;1.784.748;1.761.447;1.854.475;-6.575.934;0;0;18000
28/10/2021 01:30;80;-0.6559522;-0.14458;0.04727333;1.413.383;0;1.642.612;5.875.557;9.687.945;248;798.344;1.672.351;1.519.127;1.519.917;1.173.151;-5.661.391;126.847;-10809.09;176.041;1.717.097;1.827.341;-7.090.409;0;0;18000
28/10/2021 02:00;81;-1.037.398;-0.2331178;0.01705055;1.418.152;0;1.638.695;6.013.115;9.685.816;248;8.164.656;167.077;1.552.217;1.435.166;1.170.862;-6.013.487;1.384.198;-10802.96;1.729.091;1.678.787;1.797.482;-787.734;0;0;18000
28/10/2021 02:30;82;-0.85725;0.2934389;0.09420611;1.355.512;0;1.639.013;5.950.283;968.495;248;8.353.932;1.620.502;1.538.122;1.392.691;1.167.338;-5.654.295;1.262.092;-10811.8;1.702.226;1.647.073;1.769.374;-836.056;0;0;18000
28/10/2021 03:00;83;-113.919;-0.46213;0.08602611;1.403.187;0;1.634.015;590.568;9.684.003;248;8.562.255;1.642.149;1.600.157;1.295.432;1.164.266;-5.582.698;1.261.561;-10804.66;1.676.574;1.615.573;173.914;-8.760.963;0;0;18000
28/10/2021 03:30;84;-0.3049261;-1.971.504;0.0001516667;1.436.734;0;1.636.419;5.955.193;9.683.305;248;8.340.159;1.703.724;1.619.859;1.344.853;1.161.639;-513.469;124.902;-10801.95;1.659.933;161.342;1.714.684;-8.721.041;0;0;18000
28/10/2021 04:00;85;0.4999517;-4.679.721;-0.01866166;1.538.311;0;1.628.591;6.033.799;9.680.946;248;7.974.099;1.784.196;1.628.614;1.445.867;1.158.521;-5.404.856;1.153.398;-10790.01;1.654.546;1.637.853;1.701.805;-8.199.738;0;0;18000
28/10/2021 04:30;86;0.7956244;-517.077;-0.04434333;1.540.674;0;1.627.759;594.325;9.679.109;248;7.762.193;1.789.685;1.590.833;1.538.634;1.157.238;-5.486.772;1.142.952;-10788.93;1.661.287;1.649.916;1.698.539;-727.303;0;0;18000
28/10/2021 05:00;87;0.5731155;-4.719.243;-0.02060222;1.523.207;0;1.629.099;5.992.286;9.679.108;248;7.837.473;1.774.404;1.590.826;1.584.005;1.155.017;-5.693.928;1.103.506;-10791.65;1.665.302;1.648.785;1.693.908;-6.720.219;0;0;18000
28/10/2021 05:30;88;0.1881111;-4.661.385;0.04032611;1.510.917;0;1.630.633;5.814.951;967.858;248;7.745.708;176.596;1.563.856;1.584.365;1.153.255;-5.894.847;0.7638257;-10751.65;1.662.729;1.638.368;1.685.724;-657.871;0;0;18000
28/10/2021 06:00;89;0.5658578;-4.196.102;-0.02724444;1.498.048;0;1.632.523;5.787.486;9.680.232;248;7.720.183;1.755.837;1.548.826;1.577.052;1.151.615;-5.762.102;1.044.347;-10790.06;1.655.494;1.627.613;1.674.373;-6.647.436;0;0;18000
28/10/2021 06:30;90;1.055.933;-4.464.077;-0.06563389;1.489.127;0;1.635.103;5.805.458;9.680.751;248;7.760.935;1.747.818;1.549.127;1.562.573;1.148.802;-5.450.698;1.410.682;-10801.41;1.648.366;1.616.641;1.661.382;-6.726.234;0;0;18000
28/10/2021 07:00;91;1.366.615;-5.031.096;-0.1021444;1.482.872;0;16.357;5.788.682;9.680.831;248;7.770.874;1.744.781;154.813;1.562.721;1.149.583;-5.254.053;1.718.535;-10806.57;1.645.305;1.613.728;1.650.151;-6.604.155;0;0;18000
28/10/2021 07:30;92;1.092.253;-4.338.663;-0.06122833;149.307;0;1.636.097;5.817.933;9.682.746;248;7.740.611;1.758.287;1.555.305;159.421;1.179.104;-449.138;8.857.816;-10800.5;1.646.831;1.638.848;1.644.292;-6.232.799;0;0;18000
28/10/2021 08:00;93;0.07275777;-4.959.869;0.05598889;152.015;0;1.633.388;589.363;9.684.467;248;7.661.545;1.785.545;1.566.138;1.667.528;124.407;-9.975.842;2.193.064;-10847.6;1.658.627;1.715.734;1.651.276;-5.154.234;0;0;18000
28/10/2021 08:30;94;1.837.739;-5.650.663;-0.1165722;1.569.365;0;1.628.474;5.925.656;9.686.045;248;7.523.357;1.828.279;1.579.578;1.748.483;127.406;2.595.054;3.622.021;-10980.11;1.691.213;1.806.187;1.677.168;-3.158.514;0;0;18000
28/10/2021 09:00;95;1.432.587;-606.548;-0.07843389;1.628.349;0;1.624.397;5.641.037;9.687.388;248;6.940.749;1.885.484;1.510.143;1.826.579;129.912;7.595.446;5.078.352;-11081.87;1.738.774;1.899.294;1.722.647;-9.064.466;0;0;18000
28/10/2021 09:30;96;1.192.126;-6.866.005;-0.05169778;1.662.199;0;1.622.085;5.372.603;96.876;248;6.410.362;1.921.384;1.426.714;189.872;1.313.868;1.275.124;6.425.981;-11173.82;1.799.211;1.994.589;1.786.025;1.572.045;0;0;18000
