"TOA5","CR1000XLagunaPiedra","CR1000X","22185","CR1000X.Std.04.02","CPU:FuentePiedraV3.1.CR1X","57757","flux"
"TIMESTAMP","RECORD","Ux_rmy_Avg","Uy_rmy_Avg","Uz_rmy_Avg","Ts_rmy_Avg","diag_rmy_Avg","CO2_Avg","H2O_Avg","press_Avg","diag_irga_Avg","rh_hmp_Avg","t_hmp_Avg","e_hmp_Avg","panel_temp_raw_Avg","batt_volt_Avg","Rn_meas_Avg","Par_i_Avg","Par_r_Avg","Tsoil_Avg(1)","Tsoil_Avg(2)","Tsoil_Avg(3)","shf_Avg","n_nnd_Tot","n_NaN_Tot","num_Tot"
"TS","RN","m/s","m/s","m/s","C","unitless","mmol/m^3","mmol/m^3","kPa","unitless","percent","C","kPa","C","V","W/m^2","mV","mV","C","C","C","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Tot","Tot","Tot"
"2022-02-21 18:30:00",5681,-0.7465249,1.206923,0.2050478,13.40631,0,16.7426,274.7241,97.46552,248,36.23135,16.81115,0.6888962,17.88823,12.03483,-76.47961,5.431262,-10545.93,16.2994,17.14621,21.61501,26.90908,0,0,18000
"2022-02-21 19:00:00",5682,-0.8340244,1.196904,0.2155183,10.8906,0,17.02838,269.4707,97.46622,248,43.09662,14.54872,0.7134004,14.01655,11.96678,-77.23551,-0.2271534,-10534.91,15.37525,15.64701,20.53151,4.458436,0,0,18000
"2022-02-21 19:30:00",5683,0.2244622,0.7939694,0.06568389,11.71476,0,17.03349,275.1618,97.48758,247.9122,43.11628,15.07551,0.7386467,11.85253,11.92814,-68.79717,-0.02622433,-10546.62,14.5858,14.6094,19.49564,-15.89341,0,0,18000
"2022-02-21 20:00:00",5684,-0.4815972,1.10532,0.1045044,10.46566,0,17.13362,266.4486,97.48994,247.5134,44.85025,13.88056,0.7105244,10.62937,11.89924,-59.73602,-0.07559796,-10565.57,13.89935,13.65816,18.58768,-31.49718,0,0,18000
"2022-02-21 20:30:00",5685,-0.5470638,1.225733,0.1451617,10.29567,0,17.14699,269.5468,97.49461,247.7227,45.56782,13.77663,0.7165995,9.012742,11.86589,-57.65759,-0.03141454,-10566.28,13.28236,12.76732,17.74186,-44.34432,0,0,18000
"2022-02-21 21:00:00",5686,-0.1695422,0.46079,0.018265,10.60238,0,17.14579,294.5191,97.51469,247.8219,48.7754,14.03285,0.7805551,8.311343,11.84362,-58.37408,0.06570815,-10563.8,12.76138,12.12025,16.96979,-54.5719,0,0,18000
"2022-02-21 21:30:00",5687,-0.7432544,0.6632772,0.09671611,9.132806,0,17.27134,288.7075,97.53544,247.0659,52.30978,12.80005,0.7727507,7.834001,11.8217,-52.97388,0.01924623,-10575.17,12.28475,11.43307,16.2786,-62.17666,0,0,18000
"2022-02-21 22:00:00",5688,-0.6505405,0.8855661,0.1050505,6.827316,0,17.459,274.7019,97.55569,247,57.03595,10.75848,0.7368922,6.924367,11.77604,-59.20732,0.08257201,-10560.61,11.8357,10.82774,15.61406,-69.24203,0,0,18000
"2022-02-21 22:30:00",5689,0.5425561,0.9404227,0.02129944,8.596487,0,17.38823,310.1891,97.57722,247,59.55628,12.19575,0.8456382,6.803184,11.74993,-56.95157,0.2472402,-10569.64,11.45459,10.44089,15.01273,-74.12991,0,0,18000
"2022-02-21 23:00:00",5690,0.2226817,0.852945,0.04308722,7.511796,0,17.50676,296.6842,97.58135,247,59.7497,11.4478,0.8076928,7.14838,11.73087,-53.37222,0.213723,-10579.12,11.11124,10.10752,14.49084,-77.72196,0,0,18000
"2022-02-21 23:30:00",5691,-0.5569139,0.14098,0.04576833,7.436707,0,17.52001,302.865,97.57995,247,60.43628,11.27244,0.8081242,6.482525,11.70949,-52.64819,0.146163,-10582.35,10.7631,9.540606,13.99594,-79.97292,0,0,18000
"2022-02-22 00:00:00",5692,-1.228413,-0.04636667,0.05360333,6.975148,0,17.49464,302.6144,97.58411,247,64.6035,10.54659,0.822453,5.305476,11.67943,-64.22776,0.1697298,-10559.94,10.38055,8.938905,13.48903,-83.48827,0,0,18000
"2022-02-22 00:30:00",5693,-0.7961127,-0.05624667,0.03221333,6.657588,0,17.54701,291.698,97.58875,247,62.66145,10.48665,0.7950591,4.978586,11.65184,-59.91022,0.2616741,-10566.8,10.04051,8.558008,12.99037,-88.03061,0,0,18000
"2022-02-22 01:00:00",5694,-0.1368028,0.3672033,0.02642028,5.643424,0,17.59459,286.7149,97.58273,247,63.97035,9.716229,0.7701137,4.380173,11.62969,-48.58498,0.2354535,-10593.46,9.703538,8.020053,12.52618,-91.42361,0,0,18000
"2022-02-22 01:30:00",5695,-0.2985561,0.8069589,0.08091778,4.223837,0,17.75534,286.1722,97.58383,247,68.02911,8.457272,0.7525563,3.216632,11.59161,-48.57992,0.2835163,-10598.39,9.337363,7.497155,12.04746,-95.30096,0,0,18000
"2022-02-22 02:00:00",5696,-0.4200467,0.8030361,0.1046061,2.74133,0,17.85625,268.7982,97.58358,247,70.81124,7.113076,0.7150251,2.415635,11.54888,-49.55758,0.3921272,-10595.05,9.001193,7.121427,11.58687,-99.0702,0,0,18000
"2022-02-22 02:30:00",5697,-0.5867783,0.1275705,0.045665,2.763138,0,17.79964,270.4884,97.59158,247,73.19437,6.873279,0.7265874,1.843475,11.5196,-48.64288,0.401941,-10599.72,8.6828,6.709529,11.15831,-101.9047,0,0,18000
"2022-02-22 03:00:00",5698,-0.6920994,0.8358572,0.1185017,2.170795,0,17.86916,272.0004,97.59122,247,74.49919,6.581898,0.7252793,1.334896,11.48602,-47.42932,0.4726138,-10606.82,8.369781,6.300486,10.73836,-104.6622,0,0,18000
"2022-02-22 03:30:00",5699,-0.2102022,0.3709633,0.03633444,2.52063,0,17.8958,274.4684,97.57747,247,77.0171,6.684793,0.7554212,1.259131,11.44823,-51.80551,0.5991543,-10602.25,8.118202,6.058064,10.34,-107.1223,0,0,18000
"2022-02-22 04:00:00",5700,-0.2685255,1.070089,0.05531166,2.227589,0,17.96682,276.593,97.57143,247,77.08485,6.5108,0.74692,1.35477,11.42839,-48.00851,0.5102772,-10613.67,7.879184,5.737911,9.986192,-107.9005,0,0,18000
"2022-02-22 04:30:00",5701,-0.2464361,0.2531439,0.02382555,2.405851,0,18.01495,279.8335,97.5714,247,78.09617,6.750824,0.769278,1.151243,11.39561,-51.33504,0.7567058,-10620.82,7.64045,5.483496,9.638685,-108.93,0,0,18000
"2022-02-22 05:00:00",5702,-0.6385239,0.4841833,0.08233611,1.476427,0,18.01409,274.081,97.58907,247,79.14256,5.84752,0.7319291,0.8671848,11.36357,-45.41801,0.7392139,-10637.73,7.412628,5.159854,9.318155,-109.7222,0,0,18000
"2022-02-22 05:30:00",5703,-0.3991455,1.051023,0.09279555,0.9092667,0,18.174,274.449,97.6106,247,81.241,5.315648,0.7246894,0.2188363,11.32586,-44.83786,0.8355566,-10644.15,7.165113,4.830222,8.981644,-111.1206,0,0,18000
"2022-02-22 06:00:00",5704,-0.3087789,0.6375822,0.08902444,0.7317511,0,18.25334,269.8278,97.61667,247,83.88291,5.111369,0.7378327,0.09435257,11.28967,-47.13406,0.9561801,-10648.52,6.969325,4.655711,8.663133,-112.3219,0,0,18000
"2022-02-22 06:30:00",5705,-0.718535,0.5413283,0.1056189,0.08644833,0,18.22881,260.0185,97.63113,247,84.11535,4.525277,0.7098517,-0.007968089,11.26217,-43.11826,0.8769981,-10653.08,6.780099,4.410515,8.381826,-112.2965,0,0,18000
"2022-02-22 07:00:00",5706,-0.3714211,0.3768294,0.05116167,0.9353838,0,18.14782,275.904,97.63988,247,84.87521,5.225132,0.7521694,-0.3233158,11.24465,-41.24246,2.525906,-10666.3,6.577573,4.162187,8.098802,-112.6221,0,0,18000
"2022-02-22 07:30:00",5707,-0.4961344,0.124635,0.03597167,0.8666239,0,18.16433,274.1979,97.66177,247,85.27163,5.325903,0.7610286,-0.3886763,11.30988,-70.97661,29.14991,-10595.05,6.407255,4.164361,7.830558,-113.2186,0,0,18000
"2022-02-22 08:00:00",5708,-0.2210572,0.388215,0.06313388,2.206863,0,18.02016,280.6182,97.67701,247,83.90113,6.637854,0.8204711,0.8327486,11.77001,-102.9016,122.1612,-10517.53,6.460607,5.385806,7.654065,-110.5411,0,0,18000
"2022-02-22 08:30:00",5709,0.6046355,0.1641816,0.004862778,3.697453,0,18.0567,291.1329,97.67909,247,77.51477,8.777091,0.8756841,3.690513,12.58883,-81.70805,266.6639,-10567.93,7.060754,7.303123,7.719853,-97.39483,0,0,18000
"2022-02-22 09:00:00",5710,0.9006705,0.3390555,0.01635556,5.504612,0,17.93949,308.7364,97.66501,247.2215,70.94153,10.31558,0.889132,6.613316,12.86381,-40.22863,418.4126,-10663.59,8.108955,9.474626,8.038482,-74.06579,0,0,18000
"2022-02-22 09:30:00",5711,0.5110527,-0.1681428,-0.007189444,7.81453,0,17.63236,325.9019,97.66438,248,64.92339,12.43793,0.9360814,9.250785,13.20173,3.653651,567.5328,-10767.66,9.590136,11.98283,8.655665,-45.1995,0,0,18000
"2022-02-22 10:00:00",5712,0.2601911,-0.4228055,-0.005153889,10.12034,0,17.42254,333.8125,97.65611,248,57.32344,14.68785,0.9567134,11.87152,13.1014,53.20614,707.7181,-10887.35,11.31762,14.69311,9.741789,-13.22189,0,0,18000
"2022-02-22 10:30:00",5713,-0.09344555,-0.8122689,0.01956667,12.37666,0,17.17458,336.1331,97.65183,248,50.9112,16.49859,0.9533967,14.2429,12.92827,108.7381,831.8716,-11026.53,13.17372,17.23256,11.20627,20.9184,0,0,18000
"2022-02-22 11:00:00",5714,-0.7263216,-1.060637,0.01184833,15.16076,0,16.83565,316.0209,97.63966,248,39.65756,18.88925,0.8626096,16.44717,12.77475,173.8285,939.183,-11183.64,15.00819,19.63359,12.85778,56.19332,0,0,18000
"2022-02-22 11:30:00",5715,-0.3935889,-1.511595,0.02986944,17.58138,0,16.57749,302.166,97.61939,248,31.0086,20.9472,0.7679836,18.93831,12.65127,202.43,1026.008,-11263.08,16.69791,21.85981,14.60776,90.19218,0,0,18000
"2022-02-22 12:00:00",5716,1.335183,-4.154416,-0.03302944,19.26706,0,16.41356,301.1624,97.5842,248,28.47998,21.94836,0.7501506,21.12762,12.59991,149.0476,1087.618,-11136.39,18.06231,23.03792,16.3675,119.0387,0,0,18000
"2022-02-22 12:30:00",5717,1.358099,-6.603197,-0.02570389,19.5443,0,16.38922,300.1886,97.54003,248,27.6674,22.17043,0.7389607,22.52854,12.54025,153.9962,1124.027,-11135.07,18.71998,23.60242,17.87442,120.7354,0,0,18000
"2022-02-22 13:00:00",5718,0.9135827,-6.176852,0.04583777,19.85765,0,16.36105,286.9616,97.49884,248,25.83914,22.45707,0.7020774,23.16919,12.56484,184.4194,1136.632,-11202.66,19.28955,24.2528,19.12061,119.2529,0,0,18000
"2022-02-22 13:30:00",5719,1.574963,-6.294995,-0.02971,20.18105,0,16.34529,275.22,97.45908,248,24.15734,22.73929,0.6679356,23.6539,12.54894,186.0845,1124.872,-11205.43,19.75882,24.7464,20.24034,119.1373,0,0,18000
"2022-02-22 14:00:00",5720,2.175827,-5.886519,-0.06924888,20.241,0,16.34742,274.5715,97.43507,248,23.91459,22.79531,0.6635061,24.03037,12.56258,185.7006,1086.097,-11202.44,19.9414,24.99068,21.20011,115.4649,0,0,18000
"2022-02-22 14:30:00",5721,1.730475,-7.254937,-0.03542944,19.80022,0,16.38413,291.0592,97.41286,248,25.97769,22.41244,0.7040936,24.12542,12.63289,189.946,1022.101,-11207.65,19.92374,24.8971,21.96815,113.0026,0,0,18000
"2022-02-22 15:00:00",5722,1.779784,-7.399668,-0.03761222,19.42653,0,16.38537,284.5476,97.4024,248,26.02434,22.09723,0.6920216,23.81384,12.7102,185.5292,937.9778,-11192.04,19.75701,24.44066,22.46215,109.5303,0,0,18000
"2022-02-22 15:30:00",5723,1.511383,-7.198975,-0.005873889,18.96012,0,16.41055,287.1163,97.38732,248,27.10142,21.67888,0.7023711,23.45922,12.80156,175.928,831.6789,-11162.13,19.44125,23.82287,22.72326,103.5245,0,0,18000
"2022-02-22 16:00:00",5724,1.639896,-6.503681,-0.006564444,18.68311,0,16.42686,292.4923,97.384,248,28.24232,21.3946,0.7194501,22.98431,12.87156,157.6702,705.6785,-11110.55,19.03222,23.08945,22.78751,97.90311,0,0,18000
"2022-02-22 16:30:00",5725,1.608729,-6.243654,-0.01242389,18.46708,0,16.43314,294.3014,97.38075,248,28.93538,21.13877,0.7255793,22.43123,12.97725,131.4654,560.0467,-11043.61,18.50059,22.13083,22.66406,87.7716,0,0,18000
"2022-02-22 17:00:00",5726,1.504747,-5.972721,-0.02198167,18.13146,0,16.4493,289.0787,97.36283,248,28.96903,20.8478,0.7134709,21.82937,13.10012,99.61681,399.9784,-10960.69,17.84615,20.94456,22.34382,70.49379,0,0,18000
"2022-02-22 17:30:00",5727,-1.334476,-5.058164,0.13814,17.63646,0,16.47407,302.4844,97.3661,248,31.0049,20.41268,0.7432609,21.23004,12.81296,46.2752,205.2392,-10830.33,17.08803,19.62782,21.83525,48.51208,0,0,18000
"2022-02-22 18:00:00",5728,-1.661637,-4.588083,0.1186539,16.27287,0,16.56096,296.524,97.38566,248,33.07778,19.24876,0.7374778,20.02315,12.15765,-30.9793,60.74172,-10649.82,16.27964,18.14807,21.12804,34.22976,0,0,18000
"2022-02-22 18:30:00",5729,-0.8706167,-3.670356,0.07968444,15.25685,0,16.62919,294.1907,97.41279,248,35.47888,18.32485,0.7465186,18.11035,12.02039,-68.51465,4.250101,-10560.25,15.48693,16.84265,20.25855,19.25712,0,0,18000
"2022-02-22 19:00:00",5730,-1.767222,-1.680055,0.02627944,13.47035,0,16.80177,228.838,97.43063,248,30.00372,16.90164,0.5788758,16.32528,11.97004,-89.15243,-0.09901065,-10507.99,14.74152,15.55883,19.36428,3.843625,0,0,18000
"2022-02-22 19:30:00",5731,-1.350553,-0.8815922,0.010505,12.46409,0,16.9013,221.8261,97.43768,248,30.63284,15.9834,0.556228,14.42106,11.93125,-84.72611,-0.1538189,-10512.9,14.00027,14.37665,18.51984,-11.551,0,0,18000
"2022-02-22 20:00:00",5732,-1.309939,-0.4618172,0.003494444,11.60106,0,16.97405,205.9669,97.4366,248,30.30233,15.12242,0.5204582,12.62109,11.90477,-80.4571,-0.1190943,-10517.32,13.3386,13.35362,17.73142,-24.64953,0,0,18000
"2022-02-22 20:30:00",5733,-1.207492,-0.8859205,-0.003967222,10.97612,0,17.04178,228.7058,97.4529,247.5581,34.5778,14.57985,0.5736352,11.41377,11.87422,-76.20574,-0.0850858,-10522.83,12.76114,12.55185,17.00028,-36.89742,0,0,18000
"2022-02-22 21:00:00",5734,-1.269494,-1.50961,0.02605278,10.90629,0,17.01364,270.0119,97.45797,247.9007,42.72332,14.56122,0.7085509,10.94975,11.84489,-75.73208,0.0229543,-10524.96,12.30628,12.0902,16.34196,-46.70895,0,0,18000
"2022-02-22 21:30:00",5735,-1.211159,-0.4674,-0.009427221,10.19666,0,17.07742,238.4273,97.46088,247,39.63089,13.77144,0.6239288,10.46762,11.82141,-70.85686,-0.07398289,-10534.92,11.91369,11.45252,15.75993,-52.50451,0,0,18000
"2022-02-22 22:00:00",5736,-1.447394,-0.61149,-0.007090556,9.800252,0,17.10753,236.1369,97.45313,247,39.93943,13.4823,0.6167757,9.66936,11.78936,-75.75171,-0.03637253,-10523.95,11.50518,10.88589,15.196,-58.4353,0,0,18000
"2022-02-22 22:30:00",5737,-0.6072327,-0.6816688,0.007129444,9.819907,0,17.12135,271.6384,97.44187,247.1759,45.60604,13.46116,0.7033091,9.382791,11.77117,-58.53596,-0.01131209,-10561.55,11.16288,10.46626,14.68517,-63.28621,0,0,18000
"2022-02-22 23:00:00",5738,-1.016069,-0.4448833,0.007861666,9.556001,0,17.13517,264.8544,97.43218,247,47.49848,13.03139,0.7121846,8.674756,11.7485,-60.35341,-0.09020218,-10557.18,10.82207,9.968355,14.21321,-67.3258,0,0,18000
